"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.205865619E2,6.501726181E1,2.551198753E1,1.742194707E1,1.850000024E0,3.181000061E2,3.790092468E0,2.500000000E0
1.215871804E2,6.501727203E1,2.551195915E1,1.743567965E1,1.799999952E0,3.121000061E2,3.790092468E0,2.500000000E0
1.225868342E2,6.501728183E1,2.551192956E1,1.736970059E1,1.830000043E0,3.116000061E2,3.790092468E0,2.500000000E0
1.235868865E2,6.501729198E1,2.551190023E1,1.739045234E1,1.779999971E0,3.112999878E2,3.790092468E0,2.500000000E0
1.245870836E2,6.501730169E1,2.551186999E1,1.744288159E1,1.789999962E0,3.093999939E2,3.790092468E0,2.500000000E0
1.255872832E2,6.501731184E1,2.551183676E1,1.755561376E1,1.909999967E0,3.071000061E2,3.790092468E0,2.500000000E0
1.265868432E2,6.501732264E1,2.551180546E1,1.755530838E1,1.870000005E0,3.093999939E2,3.790092468E0,2.500000000E0
1.275871986E2,6.501733352E1,2.551177601E1,1.764039094E1,1.799999952E0,3.102999878E2,3.790092468E0,2.500000000E0
1.285866936E2,6.501734310E1,2.551174731E1,1.779273461E1,1.679999948E0,3.076000061E2,3.790092468E0,2.500000000E0
1.295865404E2,6.501735164E1,2.551172249E1,1.792334969E1,1.519999981E0,3.080000000E2,3.790092468E0,2.500000000E0
1.305871320E2,6.501736027E1,2.551169045E1,1.821576974E1,1.820000052E0,3.012000122E2,3.790092468E0,2.500000000E0
1.315869809E2,6.501736606E1,2.551166059E1,1.798847618E1,1.460000038E0,2.940000000E2,3.790092468E0,2.500000000E0
1.325873615E2,6.501737040E1,2.551162696E1,1.808534125E1,1.629999995E0,2.853999939E2,3.790092468E0,2.500000000E0
1.335870674E2,6.501737599E1,2.551159080E1,1.814521887E1,1.720000029E0,2.887999878E2,3.790092468E0,2.500000000E0
1.345868124E2,6.501737650E1,2.551155520E1,1.831203177E1,1.730000019E0,2.707999878E2,3.790092468E0,2.500000000E0
