"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.421461198E0,-1.200196385E0,-2.709698677E-1,6.021881104E-2
1.426445625E0,-1.144450188E0,-2.706763744E-1,8.401489258E-2
1.431430052E0,-1.056848049E0,-2.741937637E-1,1.169214249E-1
1.436414479E0,-9.419176579E-1,-2.862803936E-1,2.209224701E-1
1.441398906E0,-8.328958750E-1,-2.927379608E-1,3.290195465E-1
1.446379583E0,-6.912618876E-1,-2.890141010E-1,4.746723175E-1
1.451360260E0,-5.117094517E-1,-2.897570133E-1,6.292266846E-1
1.456341354E0,-3.841900826E-1,-3.096652031E-1,7.498483658E-1
1.461322969E0,-2.692075074E-1,-3.347079754E-1,8.129119873E-1
1.466305208E0,-1.998067200E-1,-3.889765739E-1,8.234844208E-1
1.471288125E0,-1.855376959E-1,-4.295747280E-1,7.865896225E-1
1.476271771E0,-1.742944568E-1,-4.707708359E-1,7.453203201E-1
1.481256146E0,-2.000363171E-1,-4.646956921E-1,6.901044846E-1
1.486241250E0,-2.823503613E-1,-4.829924107E-1,5.923357010E-1
1.491227031E0,-3.260161877E-1,-4.967935085E-1,4.902839661E-1
1.496213385E0,-3.839049339E-1,-5.297312737E-1,4.077301025E-1
1.501200208E0,-4.321781397E-1,-5.530579090E-1,3.302698135E-1
1.506187396E0,-4.615111351E-1,-5.713813305E-1,2.768955231E-1
1.511174792E0,-5.102347732E-1,-5.894391537E-1,1.950101852E-1
1.516162292E0,-5.547362566E-1,-6.214463711E-1,1.419353485E-1
1.521149792E0,-6.287100315E-1,-6.433458328E-1,1.270608902E-1
1.526134271E0,-6.944114566E-1,-7.029364109E-1,1.264142990E-1
1.531118698E0,-6.760772467E-1,-7.427675724E-1,1.160650253E-1
1.536103125E0,-5.884658098E-1,-7.581784725E-1,8.174228668E-2
1.541087552E0,-4.602127969E-1,-7.157900333E-1,8.076858521E-2
1.546071979E0,-2.910172939E-1,-6.156935692E-1,9.867191315E-2
1.551056406E0,-1.279262304E-1,-5.154438019E-1,1.067838669E-1
1.556040833E0,2.939264476E-2,-4.223804474E-1,1.188268661E-1
1.561025260E0,1.665470600E-1,-3.580515385E-1,1.495532990E-1
1.566009688E0,3.077468574E-1,-3.414068222E-1,1.846370697E-1
1.570994115E0,4.436055720E-1,-3.010642529E-1,1.908998489E-1
1.575978542E0,5.174251795E-1,-2.894558907E-1,2.208108902E-1
1.580962969E0,5.297490358E-1,-2.827973366E-1,2.315168381E-1
1.585947396E0,4.478781819E-1,-3.001873493E-1,2.897109985E-1
1.590931823E0,4.015455544E-1,-3.131325245E-1,3.000993729E-1
1.595916250E0,5.133998990E-1,-3.170213699E-1,2.678737640E-1
1.600900677E0,5.437813997E-1,-3.451669216E-1,3.026113510E-1
1.605885104E0,4.457170665E-1,-3.689730167E-1,2.993249893E-1
1.610869531E0,3.438713253E-1,-3.884785175E-1,2.630805969E-1
1.615853958E0,2.524423897E-1,-3.420367241E-1,2.559022903E-1
1.620838385E0,1.522706002E-1,-3.203701973E-1,2.300453186E-1
1.625822813E0,7.201758027E-2,-2.947804928E-1,1.476755142E-1
1.630807240E0,3.497530147E-2,-3.080856800E-1,5.677032471E-2
1.635791667E0,-1.634662598E-2,-2.837412357E-1,-1.895141602E-2
1.640776094E0,-4.904901609E-2,-2.597560883E-1,-4.174041748E-2
1.645760521E0,-9.650006890E-2,-2.076356411E-1,-5.477428436E-2
1.650744948E0,-1.300080866E-1,-1.891970634E-1,-6.294155121E-2
1.655729375E0,-1.685181558E-1,-1.899631023E-1,-6.151866913E-2
1.660713802E0,-1.503255665E-1,-1.859805584E-1,-5.535221100E-2
1.665698229E0,-1.421974301E-1,-1.818912029E-1,-4.928970337E-2
